"","text"
"1"," obama leak info  alqaeda   raid  killed navy seal evidence suggests   via "
"2","rt    understands  attacking  media   reddest  meat   base  "
"3","rt  appeals court  denied dojs appeal   eo   liberal    acting  activists instead  jud "
"4","rt       pretty annoyed    presidentbannon stuff "
"5","rt        sundaymorning     attention   superbowlsunday      "
"6","rt    totally ignored history   black history month listening session "
"7","rt   twitter rally rt    support  djt  sunday feb th  super bowl half time   "
"8","rt   republicans wont rein     judiciary   "
"9","errors   press  piling     weeks    administration  via "
"10","     asshole patriots"
"11","rt   cabinet pick paid  cultlike iranian exile     "
"12","rt   msm continues  hold    low double standard   shameful pathetic notmypresident"
"13","rt  breaking appeals court denies  administration request  immediately reinstate ban  travelers  refugees"
"14","rt  chill america    outrage  outrageous   washington post "
"15","rt   federal appeals court denied   governments initial request  resume president   travel ban "
"16","rt   federal appeals court  refused  immediately reinstate  travel ban  people  seven countries "
"17","rt  watch   bannon  grim reaper   war  foreign leaders  snl  "
"18","rt   reports confirm  plan  disentangle   business   farce   "
"19","rt  dems tell  disclose maralago guests  dispel paytoplay charges  "
"20","rt    neo cons  dumb   fall     "
"21","leader  alqaida  yemen mocks   raid "
"22","rt   tweets   malevolent  excruciatingly dumb  comes  sounding lie  pro wrestling bad guy  "
"23","rt   sunday column posttrump  canada     country  reflecting  values   statue  liberty "
"24","rt   morning   president  bid  reinstate travel ban rejected  court  "
"25","rt  doj appeals judges  blocking  travel ban arguing aliens   constitutional   enter  "
"26","rt  hey liberals look   mirror   guaranteeing gop rule      maga  "
"27","rt  wow   white house  trying  warn     normal whitehouseleaks  theresistance demforce "
"28","  hear      muslims immigration   rest   shit im   scream"
"29","rt  kristen stewart taking      homophobes       saved  play    funeral "
"30","rt  wouldnt      gaga starts    anti  rhetoric  crowd drowns    boooos  ret "
"31","rt    repeating  memes      fire bannon "
"32","rt  former coo  goldman standing   left shoulder   signed eo weakening doddfrank      fu "
"33","rt   berkeley rioter  beat  supporters  bragged    led   identity guess     "
"34","rt     court  appeals denies dept  justices emergency motion  lift  travel ban restraining  "
"35","rt           presidency  senate shouldnt vote   supreme court nominee "
"36"," leaks coming     white house    totally bananas "
"37","rt  experts social media giants fight  antiterror plan  providing platform  terrorists   "
"38","rt  republican leader ousted  condemning   womens marchher comeback  stunning "
"39","rt      countrys  innocent  cnn "
"40","rt     government  night oreilly putins  killer     lot  killers    country   innocent"
"41","rt      banks cant lend  business loans   banks  share  gdp   level   yrs "
"42","rt  obama america  imperfect gop treason   america    murderous thug gop shield  eyes   presence   patriot"
"43","rt   pushing   sequestration program  froze pentagon spending  ten     "
"44","      "
"45","rt  breaking  federal appeals court  sunday rejected  request   justice department  restore  muslimban  defeat"
"46","rt  breaking th circuit court  appeals denies  request  immediately restore travel ban "
"47","rt   melania  stays   tower   yr term   cost taxpayers approx     populist  voters "
"48","rt  alert  tomorrow     sign wave  support  president   red cross bingham island palm beach "
"49","rt   federal judges  agreed   muslim ban  illegal    told  "
"50","rt       country  terrorists  unleashes fury  judges ruling "
"51","rt    jr stumbled   mark outside   organization leaving  lawsuits unpaid taxes "
"52","rt  kuwait denies  imposed travel ban praised    "
"53","rt  breaking  buzzfeed  sued   russia fake news story  "
"54","rt    fellow military academy alums remember school  little    presidential candidate "
"55","rt       president   trying  protect americans   "
"56","  voters   hey      feelgrumbles  hate  boss grumbles "
"57","rt  jon stewart   couple  predictions  president   executive   "
"58","rt    jr stumbled  trying    mark   business world "
"59","rt  appellate court denies  attempt  reinstate  muslimban     unconstitutional  somet "
"60","rt   morning    th day   violates  constitutions emoluments clause amp   th day paul rya "
"61","rt  food recipes drug bust reveals president   printed    latestnews "
"62","rt   modern fascism    fight    read     observer  "
"63","rt   argentina   south america leader follows  cracks   illegal immigration  mulls wall "
"64","rt    inappropriate  encourages disregard   courts   fascism call   name resist"
"65","     gonna handle  trumpputin situation john"
"66","rt      banks cant lend  business loans   banks  share  gdp   level   yrs "
